ParaID LowerBound UpperBound ParaName 

*145: 0.1 0.99 Cmin(3,5,1) -> Cmin(W,V,Nb)
*146: 2 2.8 Cmax(3,5,1) -> Cmax(W,V,Nb)
*147: 0.1 0.99 Cmin(3,5,2) -> Cmin(W,V,Mo)
*148: 2 2.8 Cmax(3,5,2) -> Cmax(W,V,Mo)
*149: 0.1 0.99 Cmin(3,5,3) -> Cmin(W,V,W)
*150: 2 2.8 Cmax(3,5,3) -> Cmax(W,V,W)
*151: 0.1 0.99 Cmin(3,5,4) -> Cmin(W,V,Ta)
*152: 2 2.8 Cmax(3,5,4) -> Cmax(W,V,Ta)
*153: 0.1 0.99 Cmin(3,5,5) -> Cmin(W,V,V)
*154: 2 2.8 Cmax(3,5,5) -> Cmax(W,V,V)
*155: 0.1 0.99 Cmin(3,3,1) -> Cmin(W,W,Nb)
*156: 2 2.8 Cmax(3,3,1) -> Cmax(W,W,Nb)
*157: 0.1 0.99 Cmin(3,3,2) -> Cmin(W,W,Mo)
*158: 2 2.8 Cmax(3,3,2) -> Cmax(W,W,Mo)
*159: 0.1 0.99 Cmin(3,3,4) -> Cmin(W,W,Ta)
*160: 2 2.8 Cmax(3,3,4) -> Cmax(W,W,Ta)
*161: 0.1 0.99 Cmin(3,3,5) -> Cmin(W,W,V)
*162: 2 2.8 Cmax(3,3,5) -> Cmax(W,W,V)
*163: 1 1 rho0(3) -> rho0(W)
*164: -0.1 0.1 attrac(4,5) -> attrac(Ta,V)
*165: -0.1 0.1 repuls(4,5) -> repuls(Ta,V)
*166: 0.1 0.99 Cmin(4,5,1) -> Cmin(Ta,V,Nb)
*167: 2 2.8 Cmax(4,5,1) -> Cmax(Ta,V,Nb)
*168: 0.1 0.99 Cmin(4,5,2) -> Cmin(Ta,V,Mo)
*169: 2 2.8 Cmax(4,5,2) -> Cmax(Ta,V,Mo)
*170: 0.1 0.99 Cmin(4,5,3) -> Cmin(Ta,V,W)
*171: 2 2.8 Cmax(4,5,3) -> Cmax(Ta,V,W)
*172: 0.1 0.99 Cmin(4,5,4) -> Cmin(Ta,V,Ta)
*173: 2 2.8 Cmax(4,5,4) -> Cmax(Ta,V,Ta)
*174: 0.1 0.99 Cmin(4,5,5) -> Cmin(Ta,V,V)
*175: 2 2.8 Cmax(4,5,5) -> Cmax(Ta,V,V)
*176: 0.1 0.99 Cmin(4,4,1) -> Cmin(Ta,Ta,Nb)
