              1 lmp:    -7.366271 ref:    -7.492796 err:    -1.688619 %
              2 lmp:    -7.327523 ref:    -7.467433 err:    -1.873604 %
              3 lmp:    -7.265978 ref:    -7.419186 err:    -2.065023 %
              4 lmp:    -7.183781 ref:    -7.354579 err:    -2.322344 %
              5 lmp:    -7.082988 ref:    -7.274933 err:    -2.638441 %
              6 lmp:    -6.965566 ref:    -7.182080 err:    -3.014641 %
              7 lmp:    -6.833384 ref:    -7.077292 err:    -3.446352 %
              8 lmp:    -6.688213 ref:    -6.962258 err:    -3.936160 %
              9 lmp:    -6.531726 ref:    -6.838045 err:    -4.479629 %
             10 lmp:    -6.365496 ref:    -6.706752 err:    -5.088241 %
            pxx lmp:    35.709796 ref:     1.000000 err:  3470.979571 %
            -10 lmp:    -4.508765 ref:    -4.975033 err:    -9.372149 %
             -9 lmp:    -4.857776 ref:    -5.234831 err:    -7.202800 %
             -8 lmp:    -5.152127 ref:    -5.457426 err:    -5.594197 %
             -7 lmp:    -5.396949 ref:    -5.645024 err:    -4.394595 %
             -6 lmp:    -5.596964 ref:    -5.800134 err:    -3.502852 %
             -5 lmp:    -5.756514 ref:    -5.924814 err:    -2.840612 %
             -4 lmp:    -5.879587 ref:    -6.028110 err:    -2.463842 %
             -3 lmp:    -5.969848 ref:    -6.098735 err:    -2.113335 %
             -2 lmp:    -6.030658 ref:    -6.145750 err:    -1.872708 %
             -1 lmp:    -6.065100 ref:    -6.171979 err:    -1.731680 %
              0 lmp:    -6.076000 ref:    -6.179030 err:    -1.667411 %
              1 lmp:    -6.065826 ref:    -6.169264 err:    -1.676662 %
              2 lmp:    -6.036410 ref:    -6.143980 err:    -1.750833 %
              3 lmp:    -5.989396 ref:    -6.104593 err:    -1.887069 %
              4 lmp:    -5.926374 ref:    -6.051995 err:    -2.075702 %
              5 lmp:    -5.848873 ref:    -5.987193 err:    -2.310271 %
              6 lmp:    -5.758354 ref:    -5.912151 err:    -2.601371 %
              7 lmp:    -5.656214 ref:    -5.827155 err:    -2.933537 %
              8 lmp:    -5.543777 ref:    -5.733620 err:    -3.311056 %
              9 lmp:    -5.422298 ref:    -5.632189 err:    -3.726622 %
             10 lmp:    -5.292963 ref:    -5.523990 err:    -4.182252 %
            pxx lmp:   484.348940 ref:     1.000000 err: 48334.894016 %
            -10 lmp:    -6.230267 ref:    -6.649534 err:    -6.305214 %
             -9 lmp:    -6.690047 ref:    -7.019595 err:    -4.694683 %
             -8 lmp:    -7.076555 ref:    -7.331806 err:    -3.481422 %
             -7 lmp:    -7.397016 ref:    -7.591879 err:    -2.566729 %
             -6 lmp:    -7.658034 ref:    -7.807456 err:    -1.913830 %
             -5 lmp:    -7.865641 ref:    -7.982862 err:    -1.468405 %
             -4 lmp:    -8.025012 ref:    -8.120125 err:    -1.171323 %
             -3 lmp:    -8.139720 ref:    -8.221870 err:    -0.999163 %
             -2 lmp:    -8.218336 ref:    -8.291067 err:    -0.877228 %
             -1 lmp:    -8.262843 ref:    -8.328917 err:    -0.793305 %
              0 lmp:    -8.277000 ref:    -8.340704 err:    -0.763781 %
              1 lmp:    -8.264082 ref:    -8.328652 err:    -0.775274 %
              2 lmp:    -8.226409 ref:    -8.296719 err:    -0.847442 %
              3 lmp:    -8.166033 ref:    -8.241255 err:    -0.912745 %
              4 lmp:    -8.084938 ref:    -8.168262 err:    -1.020088 %
              5 lmp:    -7.985034 ref:    -8.079792 err:    -1.172775 %
              6 lmp:    -7.868152 ref:    -7.977391 err:    -1.369356 %
              7 lmp:    -7.736044 ref:    -7.862763 err:    -1.611632 %
              8 lmp:    -7.590375 ref:    -7.737272 err:    -1.898560 %
              9 lmp:    -7.432728 ref:    -7.602089 err:    -2.227819 %
             10 lmp:    -7.264600 ref:    -7.458099 err:    -2.594476 %
            pxx lmp:  5859.976583 ref:     1.000000 err: 585897.658258 %
            -10 lmp:    -5.290462 ref:    -5.726201 err:    -7.609564 %
             -9 lmp:    -5.690584 ref:    -6.014143 err:    -5.379970 %
             -8 lmp:    -6.022802 ref:    -6.260294 err:    -3.793621 %
             -7 lmp:    -6.294805 ref:    -6.466918 err:    -2.661439 %
             -6 lmp:    -6.513513 ref:    -6.635926 err:    -1.844699 %
             -5 lmp:    -6.685151 ref:    -6.776320 err:    -1.345411 %
             -4 lmp:    -6.815308 ref:    -6.883721 err:    -0.993848 %
             -3 lmp:    -6.909000 ref:    -6.963101 err:    -0.776963 %
             -2 lmp:    -6.970724 ref:    -7.016228 err:    -0.648544 %
             -1 lmp:    -7.004506 ref:    -7.045349 err:    -0.579715 %
              0 lmp:    -7.013945 ref:    -7.052654 err:    -0.548863 %
              1 lmp:    -7.002154 ref:    -7.040737 err:    -0.548005 %
              2 lmp:    -6.967632 ref:    -7.011153 err:    -0.620753 %
              3 lmp:    -6.915777 ref:    -6.966166 err:    -0.723352 %
              4 lmp:    -6.857311 ref:    -6.906712 err:    -0.715262 %
              5 lmp:    -6.787388 ref:    -6.834401 err:    -0.687889 %
